IDs         length   Exptl.  resolution  R-factor FreeRvalue
3SWOA       399      XRAY        1.450    0.13    0.15
4A2VA       131      XRAY        1.440    0.17    0.19
1E58A       249      XRAY        1.250    0.12    0.17
5APZA       120      XRAY        1.600    0.18    0.21
1GMUA       143      XRAY        1.500    0.22    0.26
1GPPA       237      XRAY        1.350    0.15    0.19
1F9VA       347      XRAY        1.300    0.22    0.24
4PSYA       159      XRAY        0.850    0.11    0.13
4Q4GX       472      XRAY        0.970    0.13    0.17
4XOTA       597      XRAY        1.060    0.11    0.13
1UZ3A       102      XRAY        1.100    0.14    0.20
3VQJA       219      XRAY        1.200    0.14    0.17
4WBJA       164      XRAY        1.300    0.11    0.14
2IMJA       166      XRAY        1.500    0.17    0.19
3KEVA       199      XRAY        1.300    0.16    0.18
1K5CA       335      XRAY        0.960    0.11    0.14
3O2RA       170      XRAY        1.250    0.14    0.17
4IILA       346      XRAY        1.300    0.12    0.15
2OB5A       153      XRAY        1.600    0.18    0.21
4AW7A       591      XRAY        1.330    0.14    0.15
3BWHA       245      XRAY        1.000    0.17    0.18
4HS2A       110      XRAY        1.530    0.13    0.15
1NNLA       225      XRAY        1.530    0.22    0.23
5JXMA       405      XRAY        1.150    0.18    0.21
1FD3A        41      XRAY        1.350    0.16    0.24
1VYKA       149      XRAY        1.490    0.16    0.20
4TKBA       133      XRAY        0.860    0.11    0.12
1YNPA       317      XRAY        1.250    0.17    0.21
4P5EA       152      XRAY        1.350    0.16    0.18
4YCBA       183      XRAY        1.350    0.14    0.15
4V33A       360      XRAY        1.480    0.16    0.17
5A95A       365      XRAY        1.350    0.13    0.16
2BHUA       602      XRAY        1.100    0.13    0.16
2ASKA       113      XRAY        1.550    0.23    0.26
3DGTA       280      XRAY        1.500    0.18    0.20
5BS1A       123      XRAY        1.600    0.18    0.21
3EDOA       151      XRAY        1.200    0.14    0.16
4V1SA       396      XRAY        1.500    0.15    0.18
1ZGKA       308      XRAY        1.350    0.11    0.13
3NIRA        46      XRAY        0.480    0.13    1.00
4C5CA       330      XRAY        1.400    0.18    0.20
4WJQA        83      XRAY        1.350    0.16    0.18
3H8GA       497      XRAY        1.500    0.15    0.17
4ONRA       166      XRAY        1.600    0.17    0.20
2QNLA       162      XRAY        1.500    0.16    0.18
4MUQA       255      XRAY        1.360    0.16    0.18
5JEDA       231      XRAY        1.330    0.14    0.17
3WIWA       402      XRAY        1.350    0.13    0.16
1WCWA       261      XRAY        1.300    0.19    0.22
3EOJA       366      XRAY        1.300    0.14    0.16
3MXNA       157      XRAY        1.550    0.20    0.23
1WDDA       477      XRAY        1.350    0.16    0.18
3PD7A       107      XRAY        1.260    0.11    0.14
2W3QA       243      XRAY        1.340    0.14    0.18
2RE2A       136      XRAY        1.300    0.16    0.18
4LF0A       348      XRAY        1.100    0.13    0.14
3LFRA       136      XRAY        1.530    0.18    0.21
3WMTA       522      XRAY        1.500    0.14    0.17
3R87A       135      XRAY        1.050    0.15    0.17
1RWHA       757      XRAY        1.250    0.11    0.14
2DKJA       407      XRAY        1.150    0.18    0.19
2F23A       156      XRAY        1.600    0.21    0.25
1DFMA       223      XRAY        1.500    0.19    0.22
5JS4A       719      XRAY        1.480    0.14    0.16
5EJ8A       556      XRAY        1.340    0.13    0.16
4FK9A       337      XRAY        1.060    0.12    0.13
4PVKA       500      XRAY        1.300    0.14    0.16
4HTUA       134      XRAY        1.490    0.22    0.22
5B78A       131      XRAY        1.400    0.17    0.19
3SK7A       116      XRAY        1.500    0.16    0.20
3CZXA       182      XRAY        1.600    0.18    0.22
3K7IB       187      XRAY        1.440    0.16    0.18
4C08A       382      XRAY        1.340    0.14    0.16
4R2XA       252      XRAY        0.930    0.15    0.16
1JO0A        98      XRAY        1.370    0.14    0.22
2UV4A       152      XRAY        1.330    0.17    0.21
1N3LA       372      XRAY        1.180    0.18    0.22
4QXBB        68      XRAY        1.600    0.17    0.21
3DXLA       303      XRAY        1.300    0.19    0.21
5M7YA       435      XRAY        1.550    0.15    0.18
5AEZA       486      XRAY        1.470    0.14    0.15
4AQOA        92      XRAY        0.990    0.12    0.15
4HSTB       543      XRAY        1.570    0.12    0.16
3ZDBA       251      XRAY        1.470    0.20    0.23
4Y9VA       625      XRAY        0.900    0.10    0.11
3C8ZA       414      XRAY        1.600    0.19    0.21
1W5RA       278      XRAY        1.450    0.20    0.22
2PNEA        81      XRAY        0.980    0.14    0.16
4YNHA        60      XRAY        1.000    0.13    0.15
2V2GA       233      XRAY        1.600    0.16    0.20
4XKBA       233      XRAY        1.500    0.16    0.20
2D51A       406      XRAY        1.600    0.19    0.21
3RPZA       279      XRAY        1.510    0.14    0.15
3C70A       257      XRAY        1.050    0.10    1.00
4M9KA       247      XRAY        1.460    0.20    0.23
3GE3A       500      XRAY        1.520    0.17    0.19
5SXWA       728      XRAY        1.600    0.14    0.17
4R78A       309      XRAY        1.450    0.19    0.21
1FM0E       150      XRAY        1.450    0.15    0.18
3V68A       252      XRAY        1.560    0.20    0.23
5K8JA        85      XRAY        1.600    0.16    0.17
3NFTA       303      XRAY        1.510    0.16    0.20
3B9TA       484      XRAY        1.580    0.14    0.18
4DQ9A       170      XRAY        1.590    0.20    0.25
3PFGA       263      XRAY        1.350    0.18    0.21
4W8PA       301      XRAY        1.500    0.22    0.24
3P02A       317      XRAY        1.550    0.17    0.19
5DMAA        56      XRAY        1.530    0.20    0.22
1Z72A       225      XRAY        1.450    0.15    0.17
3L1WA       257      XRAY        1.600    0.17    0.20
1YU5X        67      XRAY        1.400    0.19    0.22
4QXBA       329      XRAY        1.600    0.17    0.21
5DUTA       233      XRAY        1.500    0.17    0.19
4XXFA       258      XRAY        1.340    0.17    0.19
1P1XA       260      XRAY        0.990    0.14    0.17
2W5QA       424      XRAY        1.200    0.17    0.18
5K8SA       148      XRAY        1.150    0.20    0.22
5BMTA       239      XRAY        1.500    0.17    0.19
4ZHWA       168      XRAY        1.390    0.18    0.19
2R9FA       339      XRAY        1.600    0.19    0.22
3MXNB       150      XRAY        1.550    0.20    0.23
4WY4C        78      XRAY        1.400    0.14    0.18
2NSZA       129      XRAY        1.150    0.13    0.15
2A26A        50      XRAY        1.200    0.17    0.20
1Y4MA        53      XRAY        1.600    0.26    0.26
4GS3A       107      XRAY        1.090    0.15    1.00
1RP0A       284      XRAY        1.600    0.18    0.17
1MY7A       114      XRAY        1.490    0.25    0.25
2W31A       162      XRAY        1.500    0.17    0.21
1F2TB       148      XRAY        1.600    0.19    0.23
3Q2IA       354      XRAY        1.500    0.20    0.24
3UFEA       111      XRAY        1.500    0.16    0.20
4WFOA       858      XRAY        1.140    0.11    0.13
3KC2A       352      XRAY        1.550    0.14    0.17
2QJLA        99      XRAY        1.440    0.17    0.20
1KWFA       363      XRAY        0.940    0.09    0.11
2Z0JA       237      XRAY        1.500    0.19    0.21
5JO8A       279      XRAY        1.400    0.22    0.24
4XINA       126      XRAY        1.500    0.16    0.20
5D7UA        58      XRAY        1.500    0.16    0.21
1XUBA       298      XRAY        1.300    0.14    0.16
3GPIA       286      XRAY        1.440    0.19    0.23
4E40A       252      XRAY        1.600    0.21    0.22
3JRVA       149      XRAY        1.600    0.14    0.19
2XBGA       327      XRAY        1.500    0.16    0.22
3AGNA       114      XRAY        0.960    0.12    0.13
1NKIA       135      XRAY        0.950    0.15    0.18
1M9ZA       111      XRAY        1.050    0.16    0.17
1H32A       261      XRAY        1.500    0.20    0.23
2Q6KA       283      XRAY        1.550    0.20    0.21
1G2RA       100      XRAY        1.350    0.16    0.18
5FAZA       133      XRAY        1.400    0.22    0.26
1V6PA        62      XRAY        0.870    0.12    0.15
3M6ZA       380      XRAY        1.400    0.17    0.18
5JBNA       170      XRAY        1.450    0.15    0.18
1YPYA       184      XRAY        1.510    0.24    0.25
3D2QA        70      XRAY        1.500    0.20    0.22
5K34A       119      XRAY        1.150    0.17    0.19
2XEPA       458      XRAY        1.500    0.20    0.22
1C1KA       217      XRAY        1.450    0.20    0.25
3GMXA       154      XRAY        1.050    0.13    0.15
2C92A       160      XRAY        1.600    0.18    0.22
5C5GA       254      XRAY        1.250    0.15    0.17
1IQZA        81      XRAY        0.920    0.10    0.11
5INBB        46      XRAY        1.300    0.13    0.15
4TTWA       161      XRAY        1.200    0.16    0.19
2I8TA       167      XRAY        1.300    0.15    0.17
1HZTA       190      XRAY        1.450    0.19    0.22
2FULA       177      XRAY        1.500    0.18    0.20
2VLQA        86      XRAY        1.600    0.17    0.20
4I6YA       428      XRAY        1.450    0.17    0.19
4XDXA        70      XRAY        0.950    0.12    0.14
4D0QA       169      XRAY        1.200    0.13    0.16
4FN7A       231      XRAY        1.250    0.15    0.18
2PHNA       254      XRAY        1.350    0.16    0.19
4DO4A       400      XRAY        1.400    0.14    0.18
3EQXA       373      XRAY        1.600    0.17    0.20
1GVPA        87      XRAY        1.600    0.21    0.29
5UAMA       473      XRAY        1.450    0.13    0.14
4LGYA      1305      XRAY        1.480    0.14    0.17
5HHEA        93      XRAY        1.460    0.17    0.21
2EAQA        90      XRAY        1.460    0.16    0.19
3VVVA       123      XRAY        1.350    0.16    0.19
4YTDA       101      XRAY        1.500    0.18    0.21
1JKEA       145      XRAY        1.550    0.21    0.23
4YSLA       294      XRAY        1.460    0.18    0.20
4L2IB       263      XRAY        1.450    0.15    0.21
3R6DA       221      XRAY        1.250    0.15    0.18
4BJIA       215      XRAY        1.450    0.15    0.17
2YH6A       112      XRAY        1.550    0.20    0.23
4CV7A       113      XRAY        1.400    0.17    0.20
4IPUA       137      XRAY        1.350    0.18    0.20
1JZ8A      1023      XRAY        1.500    0.17    0.21
4PH2A       134      XRAY        1.440    0.16    0.19
4YL8B        43      XRAY        1.500    0.16    0.19
4LEBA       300      XRAY        1.400    0.14    0.18
2OZNB       140      XRAY        1.600    0.21    0.25
1UOYA        64      XRAY        1.500    0.16    0.18
4ZC3A        68      XRAY        1.400    0.20    0.21
5IPYA       453      XRAY        1.500    0.15    0.17
2OLMA       140      XRAY        1.480    0.18    0.20
2H1VA       310      XRAY        1.200    0.13    0.17
3WZ3A       144      XRAY        1.500    0.18    0.21
1UKFA       188      XRAY        1.350    0.20    0.22
3FEGA       379      XRAY        1.300    0.16    0.19
3EJVA       179      XRAY        1.400    0.14    0.16
5C98A       382      XRAY        1.450    0.17    0.18
3QL9A       129      XRAY        0.930    0.12    0.13
2CWSA       237      XRAY        1.000    0.10    0.13
4M82A       399      XRAY        1.590    0.15    0.18
2WY4A       140      XRAY        1.350    0.18    0.21
4ZY9A       137      XRAY        1.200    0.21    0.25
4EP4A       166      XRAY        1.280    0.15    0.19
4AIWA       154      XRAY        1.500    0.15    0.19
4ZRXA       586      XRAY        1.590    0.15    0.17
1H16A       759      XRAY        1.530    0.14    0.16
2Z72A       342      XRAY        1.100    0.12    0.16
2QJZA       123      XRAY        1.250    0.18    0.20
4F87A        72      XRAY        1.400    0.19    0.20
5GZCA       152      XRAY        1.080    0.16    0.16
5A99A       248      XRAY        1.510    0.17    0.23
1N62C       288      XRAY        1.090    0.14    0.17
4GEKA       261      XRAY        1.500    0.17    0.20
4DMIA       176      XRAY        1.500    0.16    0.18
3W19C        40      XRAY        1.280    0.16    0.17
3SHGB        61      XRAY        1.500    0.18    0.21
1XGKA       352      XRAY        1.400    0.19    0.24
4ERYA       312      XRAY        1.300    0.19    0.21
4IX7A       115      XRAY        1.580    0.19    0.22
1I4UA       181      XRAY        1.150    0.15    0.19
3E48A       289      XRAY        1.600    0.19    0.20
2BLNA       305      XRAY        1.200    0.14    0.16
4BB9A       633      XRAY        1.470    0.16    0.18
3F0DA       183      XRAY        1.200    0.19    0.21
2CB8A        87      XRAY        1.400    0.17    0.19
1KOEA       172      XRAY        1.500    0.19    0.22
3O3YA        40      XRAY        1.350    0.14    0.17
5M97A        77      XRAY        1.330    0.20    0.21
3MWXA       326      XRAY        1.450    0.15    0.17
4QRNA       373      XRAY        1.070    0.14    0.15
1UCDA       190      XRAY        1.300    0.20    0.20
2Z6RA       265      XRAY        1.500    0.20    0.21
5FOTA       231      XRAY        1.190    0.13    0.16
4ES8A       320      XRAY        1.580    0.15    0.18
3ACXA       293      XRAY        1.310    0.16    0.18
5GNFA       140      XRAY        1.500    0.17    0.19
1HYOA       421      XRAY        1.300    0.18    0.20
3OS4A       407      XRAY        1.600    0.16    0.19
1GYXA        76      XRAY        1.350    0.14    0.16
2J6BA       109      XRAY        1.300    0.16    0.19
2V1MA       169      XRAY        1.000    0.18    0.18
3LWXA       199      XRAY        1.100    0.12    0.14
4CFIA       258      XRAY        1.300    0.14    0.17
2DXAA       166      XRAY        1.580    0.18    0.21
5FFXA       161      XRAY        1.470    0.15    0.19
5ISVA       165      XRAY        1.350    0.16    0.21
1IO0A       185      XRAY        1.450    0.20    0.22
3O4PA       314      XRAY        0.850    0.10    0.12
4DQAA       355      XRAY        1.500    0.16    0.18
2AACA       177      XRAY        1.600    0.18    0.22
5M17A       385      XRAY        1.030    0.12    0.13
3SOJA       115      XRAY        1.000    0.16    0.18
2GJ4A       824      XRAY        1.600    0.19    0.23
3CI3A       194      XRAY        1.110    0.16    0.18
1T9IA       163      XRAY        1.600    0.19    0.21
4NDOA       276      XRAY        1.350    0.16    0.18
4UZ1A       383      XRAY        1.400    0.14    0.18
2FB6A       117      XRAY        1.460    0.13    0.16
5LUSA        68      XRAY        1.430    0.16    0.17
3LHQA       220      XRAY        1.560    0.15    0.20
2XU3A       220      XRAY        0.900    0.14    0.15
3UP3A       243      XRAY        1.250    0.17    0.18
2ET1A       201      XRAY        1.600    0.18    0.21
5AJGA       329      XRAY        1.110    0.15    0.17
1A8DA       452      XRAY        1.570    0.19    0.26
2DPLA       308      XRAY        1.430    0.24    0.25
4LIXA       727      XRAY        1.550    0.17    0.20
4EADA       440      XRAY        1.500    0.15    0.19
3O9ZA       312      XRAY        1.450    0.20    0.23
2CVEA       191      XRAY        1.600    0.21    0.24
4DB5A       125      XRAY        1.520    0.16    0.18
5E9NA       527      XRAY        0.950    0.12    0.14
2E5FA       325      XRAY        1.350    0.17    0.18
3OGNA       124      XRAY        1.300    0.13    0.17
4HE6A        89      XRAY        1.100    0.12    0.16
2ZDPA       110      XRAY        1.500    0.18    0.20
3WURA       171      XRAY        1.450    0.17    0.20
3HS3A       277      XRAY        1.600    0.22    0.23
3AJDA       274      XRAY        1.270    0.17    0.18
3R41A       306      XRAY        1.050    0.14    0.17
2HP0A       466      XRAY        1.500    0.15    0.17
1NLQA       108      XRAY        1.500    0.24    0.25
1I2TA        61      XRAY        1.040    0.15    0.17
1TP6A       128      XRAY        1.500    0.20    0.23
3GRDA       134      XRAY        1.250    0.14    0.17
3AJ7A       589      XRAY        1.300    0.17    0.19
5L87A        69      XRAY        0.870    0.13    0.14
2OCTA        98      XRAY        1.400    0.18    0.19
4M9VC        64      XRAY        0.970    0.13    0.14
4CHIA       332      XRAY        1.270    0.10    0.13
3GOHA       315      XRAY        1.550    0.17    0.20
2PQ8A       278      XRAY        1.450    0.21    0.23
3KFFA       162      XRAY        0.960    0.14    0.16
5IX8A       321      XRAY        1.600    0.14    0.18
3NSOA       101      XRAY        1.450    0.20    0.22
3GKRA       336      XRAY        1.600    0.17    0.22
4C5KA       276      XRAY        1.400    0.13    0.17
3RQ9A        85      XRAY        1.000    0.15    0.18
2FMAA        59      XRAY        0.850    0.13    0.15
4RFUA       125      XRAY        1.200    0.17    0.18
3EOIA       124      XRAY        1.520    0.19    0.24
3KPEA        51      XRAY        1.470    0.19    0.20
5A8JA       373      XRAY        1.460    0.17    0.20
5EP6B        58      XRAY        1.450    0.19    0.22
2RFRA       155      XRAY        1.160    0.14    0.17
4B1MA       185      XRAY        1.100    0.16    0.18
3VENA       576      XRAY        1.570    0.15    0.18
1OK0A        74      XRAY        0.930    0.10    0.13
3QR7A       115      XRAY        0.940    0.10    0.11
2V4XA       140      XRAY        1.500    0.15    0.18
2X49A       333      XRAY        1.500    0.19    0.23
4GT9A       232      XRAY        1.390    0.15    0.16
2R16A       182      XRAY        1.040    0.15    0.17
4Z0GA       413      XRAY        1.250    0.12    0.15
2YKZA       127      XRAY        0.840    0.11    0.12
1ELKA       157      XRAY        1.500    0.20    0.22
4RUQA       238      XRAY        1.350    0.17    0.18
5DZEA       207      XRAY        0.970    0.12    0.14
2HIYA       183      XRAY        1.400    0.16    0.19
5MC7A       147      XRAY        1.600    0.21    0.25
2TPSA       227      XRAY        1.250    0.18    0.22
4L9PB       519      XRAY        1.450    0.13    0.15
4XXXA       275      XRAY        1.500    0.20    0.22
1HZ4A       373      XRAY        1.450    0.19    0.21
2XZ2A        66      XRAY        1.400    0.20    0.24
4I6RA        82      XRAY        1.380    0.15    0.18
1ZL0A       311      XRAY        1.100    0.10    0.12
3W06A       272      XRAY        1.150    0.13    0.16
4AYOA       447      XRAY        0.850    0.10    0.10
3O8MA       485      XRAY        1.420    0.19    0.22
1MC2A       122      XRAY        0.850    0.10    0.12
2W91A       653      XRAY        1.400    0.13    0.16
2VOKA       188      XRAY        1.300    0.21    0.24
1G3PA       217      XRAY        1.460    0.19    0.23
4FP5D        98      XRAY        1.400    0.20    0.21
4U89A       259      XRAY        1.400    0.14    0.17
3WKGA       412      XRAY        1.470    0.17    0.19
5COZA       358      XRAY        1.450    0.16    0.18
2OLNA       397      XRAY        1.150    0.12    0.15
1BGFA       124      XRAY        1.450    0.19    0.22
1L9LA        74      XRAY        0.920    0.14    0.19
5A71A       317      XRAY        0.910    0.11    0.13
2DSXA        52      XRAY        0.680    0.10    0.11
3W7TA       760      XRAY        1.500    0.16    0.18
3CT5A       159      XRAY        1.370    0.20    0.23
4V0SA       146      XRAY        1.550    0.14    0.19
3L46A       112      XRAY        1.480    0.18    0.20
2D5MA       190      XRAY        1.050    0.14    0.16
4CICA       153      XRAY        1.600    0.20    0.22
3NI0A        99      XRAY        1.600    0.21    0.24
3JU4A       670      XRAY        0.980    0.12    0.13
3GOEA        82      XRAY        0.970    0.14    0.17
4YSIA       143      XRAY        1.020    0.15    0.16
2QNGA       199      XRAY        1.400    0.17    0.19
3SK2A       132      XRAY        1.010    0.13    0.15
3V5CA       392      XRAY        1.530    0.19    0.22
3P4HA       118      XRAY        1.100    0.14    0.17
5EPWA       130      XRAY        1.500    0.17    0.20
5LQ6A       219      XRAY        1.480    0.17    0.20
4WJIA       293      XRAY        1.400    0.12    0.16
3MMHA       167      XRAY        1.250    0.12    0.16
5B1AI        73      XRAY        1.500    0.15    0.17
5TQIA       294      XRAY        1.500    0.14    0.18
1R7JA        95      XRAY        1.470    0.23    0.24
3D3BJ        87      XRAY        1.300    0.17    0.20
4FUUA       309      XRAY        1.300    0.12    0.16
5I39A       408      XRAY        1.200    0.14    0.16
3GWIA       170      XRAY        1.600    0.19    0.22
1J77A       209      XRAY        1.500    0.23    0.26
4Q4W3       240      XRAY        1.400    0.15    1.00
2W1SA       192      XRAY        1.450    0.18    0.23
3B64A       112      XRAY        1.030    0.14    0.16
4XUWA        92      XRAY        1.100    0.14    0.18
5CGQB       397      XRAY        1.180    0.14    0.16
3KM5A       180      XRAY        1.400    0.18    0.21
2FI1A       190      XRAY        1.400    0.16    0.17
1E7LA       157      XRAY        1.320    0.14    0.19
2BBRA       195      XRAY        1.200    0.21    0.23
5EMXA        72      XRAY        1.400    0.14    0.18
3NBMA       108      XRAY        1.300    0.13    0.17
3Q4OA       196      XRAY        1.340    0.19    0.23
4L0NA        51      XRAY        1.400    0.16    0.21
2IC6A        78      XRAY        1.150    0.16    0.18
4V1JA       142      XRAY        1.430    0.14    0.18
3OCUA       262      XRAY        1.350    0.14    0.15
2VLAA       285      XRAY        1.300    0.14    0.17
5CR4A       230      XRAY        1.400    0.17    0.20
3W5HA       272      XRAY        0.780    0.13    0.14
2G3RA       123      XRAY        1.250    0.20    0.24
2J43A       219      XRAY        1.600    0.18    0.22
4S39A       406      XRAY        1.300    0.11    0.13
5EL3A       113      XRAY        1.590    0.18    0.20
3Q7RA       121      XRAY        1.600    0.19    0.21
5FLWA       304      XRAY        1.400    0.16    0.18
2JLIA       123      XRAY        1.130    0.16    0.17
1PP0A       199      XRAY        1.420    0.23    0.26
3D32A       119      XRAY        1.300    0.18    0.20
5I78A       305      XRAY        1.580    0.14    0.17
5TW9A        63      XRAY        1.500    0.17    0.20
1C0PA       363      XRAY        1.200    0.12    0.15
2WWEA       127      XRAY        1.250    0.17    0.18
4WQKA       178      XRAY        1.480    0.16    0.20
3LM3A       449      XRAY        1.440    0.14    0.16
4IFAA       339      XRAY        1.500    0.15    0.18
3VUPA       351      XRAY        1.050    0.14    0.16
2JEKA       145      XRAY        1.380    0.17    0.20
2IMQX       282      XRAY        1.300    0.18    0.21
5LXXA       501      XRAY        1.250    0.10    0.13
1HXIA       121      XRAY        1.600    0.19    0.22
3W42A       199      XRAY        1.060    0.13    0.15
3SNOA       315      XRAY        1.600    0.23    0.25
2V9VA       135      XRAY        1.100    0.12    0.14
4Y88A       108      XRAY        1.450    0.15    0.18
3ZY2A       362      XRAY        1.540    0.21    0.24
2VHKA       206      XRAY        0.940    0.12    0.13
4A56A        93      XRAY        1.240    0.17    0.19
1W6SB        74      XRAY        1.200    0.15    0.18
4LRTA       355      XRAY        1.500    0.15    0.17
2F62A       161      XRAY        1.500    0.17    0.19
2ERFA       209      XRAY        1.450    0.19    0.22
1LMIA       131      XRAY        1.500    0.20    0.25
2QSBA        89      XRAY        1.300    0.15    0.18
1D5TA       433      XRAY        1.040    0.17    0.21
3WCQA        97      XRAY        0.970    0.15    0.17
1NXMA       197      XRAY        1.300    0.14    0.17
4Q98A       369      XRAY        1.300    0.12    0.16
4W8BA       386      XRAY        1.150    0.10    0.12
5LZKA       180      XRAY        1.570    0.16    0.19
5M12A       575      XRAY        1.530    0.20    0.22
3PL8A       623      XRAY        1.350    0.16    0.19
3UXJA       290      XRAY        1.400    0.13    0.17
4NYHA       182      XRAY        1.200    0.14    0.17
3POHA       451      XRAY        1.550    0.14    0.16
1N8VA       112      XRAY        1.390    0.18    0.20
5D66A       198      XRAY        1.000    0.14    0.17
4XEMA       475      XRAY        1.280    0.16    0.18
5FENA       133      XRAY        1.550    0.20    0.24
4BJ0A       176      XRAY        1.000    0.12    0.13
2CIUA       127      XRAY        1.600    0.20    0.25
4EMTA       188      XRAY        1.500    0.19    0.21
1QS1A       462      XRAY        1.500    0.23    0.27
4K12B        84      XRAY        1.080    0.15    0.17
3MABA        93      XRAY        1.420    0.17    0.21
1WB4A       297      XRAY        1.400    0.11    0.13
5KLEA        97      XRAY        1.500    0.16    0.18
3G89A       249      XRAY        1.500    0.18    0.21
2XOLA       176      XRAY        1.350    0.15    0.18
1W0NA       131      XRAY        0.800    0.13    0.14
2VQ2A       225      XRAY        1.540    0.17    0.18
4UA8A       400      XRAY        1.540    0.14    0.16
2ZADA       345      XRAY        1.600    0.18    0.20
5FVNA       342      XRAY        1.450    0.16    0.18
4OJXA       369      XRAY        1.310    0.17    0.18
3BO6A       220      XRAY        1.400    0.16    0.19
2ZQ0A       738      XRAY        1.600    0.17    0.19
4F06A       371      XRAY        1.300    0.12    0.14
2FP1A       166      XRAY        1.550    0.18    0.21
4IC4A       397      XRAY        1.500    0.22    0.23
5MAOA        71      XRAY        1.350    0.24    0.25
3BHWA       209      XRAY        1.500    0.24    0.28
1VBWA        68      XRAY        0.930    0.11    0.14
3T92A       121      XRAY        1.500    0.18    0.23
3M9QA       101      XRAY        1.290    0.17    0.19
4Z3GA       198      XRAY        1.450    0.17    0.19
3EURA       142      XRAY        1.300    0.14    0.17
2B0AA       186      XRAY        1.450    0.19    0.22
3IGSA       232      XRAY        1.500    0.15    0.18
2CIOB       121      XRAY        1.500    0.18    0.23
2PYXA       526      XRAY        1.500    0.15    0.18
4RUWA       440      XRAY        1.280    0.14    0.15
3A16A       373      XRAY        1.600    0.25    0.27
4FCHA       221      XRAY        1.300    0.17    0.18
3M3PA       250      XRAY        1.300    0.12    0.15
4DI9A       303      XRAY        1.350    0.16    0.18
3LFTA       295      XRAY        1.350    0.18    0.20
3FKEA       129      XRAY        1.400    0.20    0.24
1JNRA       643      XRAY        1.600    0.18    0.20
3HPCX       161      XRAY        1.470    0.19    0.23
2JE6I       251      XRAY        1.600    0.22    0.25
2PYQA       114      XRAY        1.500    0.18    0.20
2P4FA       299      XRAY        1.400    0.14    0.19
3LYDA       161      XRAY        1.450    0.17    0.19
2P6WA       213      XRAY        1.600    0.17    0.20
4NZKA       353      XRAY        1.490    0.13    0.16
2O0MA       345      XRAY        1.600    0.17    0.20
1JB3A       131      XRAY        1.600    0.20    0.24
3PUCA        99      XRAY        0.960    0.12    0.14
5FAFA       119      XRAY        1.050    0.13    0.17
3JTMA       351      XRAY        1.300    0.15    0.18
2Y5PA        74      XRAY        1.300    0.16    0.20
1J3AA       142      XRAY        1.600    0.21    0.23
5D84A       326      XRAY        1.450    0.13    0.17
2QLWA       144      XRAY        1.600    0.15    0.18
5IDVA       279      XRAY        1.450    0.15    0.18
4AT0A       510      XRAY        1.600    0.16    0.17
1R45A       204      XRAY        1.570    0.17    0.20
5E4BA       209      XRAY        1.500    0.16    0.18
3EA6A       219      XRAY        0.920    0.10    0.12
3S2RA        83      XRAY        1.140    0.19    0.20
4AK2A       288      XRAY        1.350    0.16    0.19
4RTHA       186      XRAY        1.600    0.17    0.19
2XOMA       152      XRAY        0.950    0.10    0.12
3AKSA       190      XRAY        0.970    0.19    0.19
1OZ2A       331      XRAY        1.550    0.19    0.22
3TEUA        98      XRAY        1.000    0.11    0.14
2HZCA        87      XRAY        1.470    0.14    0.23
3M7AA       140      XRAY        1.220    0.12    0.15
3C8LA       122      XRAY        1.220    0.16    0.18
1GK9B       557      XRAY        1.300    0.15    0.17
2DE3A       365      XRAY        1.600    0.18    0.20
4N2KA       690      XRAY        1.570    0.18    0.21
2BRYA       497      XRAY        1.450    0.18    0.22
3BH4A       483      XRAY        1.400    0.21    0.22
3GZRA       146      XRAY        1.400    0.14    0.15
3PLUA        93      XRAY        1.400    0.19    0.23
2OPCA       127      XRAY        1.430    0.20    0.23
2GZQA       200      XRAY        1.300    0.16    0.18
2RKLA        53      XRAY        1.500    0.22    0.25
4GEIA       150      XRAY        1.500    0.18    0.20
4QLPB       199      XRAY        1.100    0.13    0.14
5AL6A        49      XRAY        0.800    0.11    0.12
1XODA       118      XRAY        1.150    0.15    0.18
2P17A       277      XRAY        1.520    0.19    0.21
1CCWB       483      XRAY        1.600    0.14    0.17
1WHZA        70      XRAY        1.520    0.15    0.21
5FU5A       123      XRAY        1.500    0.19    0.22
3RLGA       302      XRAY        1.600    0.17    0.20
2C60A       111      XRAY        1.250    0.17    0.18
4QJVA       259      XRAY        1.600    0.18    0.21
4D7JA       363      XRAY        1.550    0.17    0.20
5UM2A       334      XRAY        1.140    0.12    0.14
3NBCA       148      XRAY        1.010    0.16    0.17
3H9CA       547      XRAY        1.400    0.17    0.19
4I4OA       146      XRAY        1.120    0.15    0.16
1Z2NX       324      XRAY        1.200    0.18    0.20
4HHRA       652      XRAY        1.510    0.15    0.18
1WT6A        81      XRAY        1.600    0.23    0.27
3VZ9D        73      XRAY        1.030    0.19    0.21
5JICA       273      XRAY        1.400    0.14    0.17
4TZHA       190      XRAY        1.390    0.17    0.19
4PP4A       276      XRAY        1.450    0.17    0.18
2PVBA       108      XRAY        0.910    0.11    0.13
4N30A       221      XRAY        1.300    0.20    0.22
2FBAA       492      XRAY        1.100    0.15    0.16
3HO6A       267      XRAY        1.600    0.17    0.20
3H3LA       241      XRAY        1.590    0.17    0.18
3F9XA       166      XRAY        1.250    0.18    0.21
1WNAA       131      XRAY        1.580    0.21    0.23
3IT3A       342      XRAY        1.500    0.17    0.19
